street_edge_id,region_id
165527,1
181564,1
181565,1
181566,1
181567,1
185310,1
211750,1
223307,1
232547,1
232882,1
233631,1
239066,1
239073,1
239080,1
239083,1
306984,1
344618,1
195396,2
227884,2
232390,2
237310,2
408266,2
423501,2
24933,3
24937,3
25583,3
25702,3
25982,3
216523,3
216525,3
216526,3
216529,3
216551,3
216590,3
216637,3
216673,3
216734,3
216743,3
216746,3
216747,3
216748,3
216749,3
216784,3
236618,3
237156,3
237313,3
251476,3
251618,3
385321,3
33535,4
187102,4
187106,4
193711,4
193712,4
193732,4
193763,4
194403,4
194404,4
233113,4
233115,4
233118,4
233122,4
233125,4
233129,4
237556,4
237567,4
237577,4
237578,4
239433,4
280988,4
281293,4
281295,4
175421,5
194435,5
194444,5
194446,5
196495,5
232982,5
233771,5
238514,5
238515,5
238516,5
270565,5
345304,5
345308,5
345317,5
421709,5
172931,6
172932,6
220086,6
235725,6
235799,6
235808,6
256279,6
266000,6
266229,6
296274,6
296382,6
296397,6
296405,6
296423,6
296439,6
298181,6
310141,6
310153,6
406246,6
406260,6
406261,6
406265,6
417606,6
417647,6
417653,6
417668,6
417685,6
417686,6
417732,6
417733,6
417763,6
423590,6
35283,7
35336,7
35337,7
35339,7
35341,7
35355,7
37698,7
37699,7
37700,7
37703,7
37717,7
37718,7
134979,7
135063,7
135664,7
135665,7
136270,7
136884,7
136885,7
154326,7
154332,7
154333,7
154334,7
154409,7
154990,7
155071,7
155419,7
155421,7
155423,7
155426,7
155428,7
155430,7
155434,7
155690,7
177132,7
177156,7
177157,7
177160,7
177187,7
177199,7
177200,7
184667,7
184668,7
184673,7
184674,7
184688,7
185327,7
185401,7
185416,7
185597,7
185968,7
185971,7
186967,7
186981,7
187148,7
187304,7
187403,7
187952,7
187956,7
189658,7
192842,7
194096,7
194211,7
194290,7
233865,7
233866,7
233870,7
233871,7
233874,7
233879,7
233880,7
233882,7
253914,7
253915,7
253918,7
270870,7
270871,7
270876,7
270877,7
270882,7
270883,7
283614,7
283615,7
300915,7
301169,7
302314,7
302317,7
302323,7
302374,7
302376,7
302378,7
302380,7
302383,7
302387,7
302394,7
302396,7
302400,7
303680,7
303682,7
303691,7
303971,7
305987,7
399785,7
399786,7
399790,7
404334,7
404335,7
404340,7
404342,7
404344,7
404350,7
404356,7
404358,7
404362,7
404364,7
404365,7
404367,7
404372,7
404375,7
404376,7
404377,7
404384,7
404385,7
404386,7
404390,7
404392,7
404395,7
404396,7
404397,7
420367,7
420369,7
425623,7
425629,7
425630,7
425631,7
425635,7
425640,7
4609,8
56621,8
56654,8
56655,8
56657,8
58668,8
59264,8
59265,8
59266,8
59800,8
59806,8
59807,8
59814,8
59816,8
59821,8
61550,8
61551,8
70680,8
80866,8
80869,8
80870,8
80871,8
88933,8
91729,8
91741,8
91748,8
91752,8
92847,8
96103,8
96124,8
96170,8
96173,8
96175,8
96184,8
96833,8
96837,8
96843,8
96854,8
96856,8
96857,8
98576,8
98579,8
98587,8
98610,8
98611,8
98613,8
98616,8
98619,8
98620,8
98621,8
98622,8
98629,8
98632,8
98633,8
98635,8
98646,8
98653,8
98656,8
98658,8
98659,8
98663,8
100842,8
102468,8
102469,8
103824,8
103825,8
103829,8
103830,8
103839,8
106568,8
106569,8
106570,8
106573,8
106574,8
106577,8
106585,8
106587,8
107049,8
107050,8
107057,8
107065,8
107070,8
107076,8
114076,8
116881,8
117309,8
119200,8
121467,8
121947,8
121948,8
121953,8
121960,8
121966,8
127304,8
127327,8
129088,8
129097,8
129141,8
129145,8
129418,8
129427,8
129428,8
129432,8
129898,8
131058,8
131491,8
131499,8
131918,8
131924,8
132167,8
132195,8
132197,8
132201,8
132203,8
140905,8
141386,8
141388,8
162339,8
162975,8
162981,8
162983,8
163533,8
163534,8
163537,8
163538,8
163544,8
164235,8
164237,8
164238,8
165084,8
165087,8
165369,8
173745,8
174272,8
174408,8
177794,8
178928,8
179771,8
179821,8
193574,8
248863,8
248874,8
248881,8
276434,8
291352,8
292206,8
293884,8
293906,8
317084,8
317127,8
318889,8
318896,8
319189,8
319201,8
319204,8
319206,8
319212,8
319216,8
319217,8
319222,8
334461,8
334465,8
334466,8
334470,8
334475,8
336533,8
336540,8
336546,8
336550,8
336552,8
336553,8
336555,8
336556,8
337002,8
337004,8
337015,8
337017,8
337018,8
337020,8
337021,8
337777,8
337779,8
343144,8
343145,8
372798,8
388432,8
388516,8
388517,8
388520,8
388561,8
388735,8
388805,8
410739,8
410830,8
411139,8
411199,8
411200,8
411201,8
413447,8
413448,8
421261,8
421263,8
32021,9
32298,9
32299,9
32303,9
32304,9
135144,9
135147,9
135424,9
135426,9
135427,9
135431,9
135474,9
135480,9
294124,9
294129,9
390677,9
134908,10
153861,10
153869,10
153872,10
154102,10
154106,10
182492,10
182528,10
182538,10
182551,10
182568,10
182585,10
182608,10
182614,10
182615,10
182669,10
182670,10
188705,10
233779,10
233781,10
233786,10
233792,10
233795,10
233799,10
233800,10
233801,10
240670,10
240686,10
345923,10
345924,10
158605,11
158627,11
190193,11
238614,11
238619,11
238646,11
238649,11
238703,11
238711,11
238716,11
238725,11
238726,11
238731,11
238732,11
238734,11
238735,11
238758,11
238763,11
238764,11
240546,11
240655,11
407664,11
407665,11
216854,12
221868,12
255807,12
255808,12
272255,12
272258,12
343501,12
408073,12
41650,13
42009,13
42012,13
102797,13
134815,13
144094,13
144096,13
144097,13
144104,13
144105,13
144106,13
144108,13
153728,13
153756,13
153766,13
153776,13
154040,13
154066,13
154078,13
154082,13
154086,13
154090,13
154180,13
154181,13
154185,13
154189,13
171357,13
179747,13
179756,13
188396,13
188566,13
189294,13
193564,13
211928,13
221963,13
221990,13
221991,13
230495,13
258142,13
258147,13
258148,13
258150,13
259829,13
259838,13
259850,13
261768,13
262224,13
263538,13
267368,13
307984,13
344452,13
345812,13
362094,13
364736,13
365338,13
365371,13
367026,13
367129,13
367130,13
367745,13
368691,13
369530,13
369537,13
370801,13
379679,13
379681,13
380022,13
380024,13
380857,13
380894,13
381356,13
381403,13
391284,13
413681,13
413691,13
31283,14
31293,14
168890,14
169710,14
169712,14
169718,14
169724,14
169730,14
169731,14
169732,14
169734,14
178526,14
189154,14
189216,14
189221,14
229568,14
311258,14
344445,14
377810,14
377819,14
422624,14
41559,15
41560,15
41566,15
41571,15
41572,15
58554,15
92381,15
92386,15
92390,15
92395,15
100463,15
100465,15
100466,15
100467,15
103790,15
104313,15
104314,15
104320,15
120726,15
133428,15
133438,15
140966,15
141034,15
162633,15
164732,15
295114,15
318164,15
318258,15
388546,15
410989,15
33405,16
33406,16
157079,16
157110,16
157121,16
186424,16
186755,16
186756,16
186759,16
186760,16
186761,16
186767,16
186920,16
186922,16
187025,16
187027,16
194100,16
194168,16
194171,16
194172,16
194219,16
195756,16
195761,16
195771,16
195779,16
232086,16
232091,16
232093,16
232094,16
232098,16
232100,16
232101,16
232104,16
232114,16
232116,16
233345,16
233349,16
255257,16
257003,16
257011,16
257012,16
257013,16
257014,16
257021,16
257024,16
257031,16
257034,16
270017,16
270687,16
297058,16
300361,16
300363,16
300374,16
300375,16
300379,16
300385,16
300445,16
301004,16
303358,16
303360,16
303365,16
303402,16
303421,16
303621,16
306061,16
306081,16
344056,16
352926,16
359867,16
427447,16
233753,17
233763,17
238568,17
244367,17
238347,18
238349,18
238359,18
238366,18
238367,18
238374,18
238377,18
238379,18
238383,18
238384,18
238391,18
238394,18
238396,18
266550,18
345095,18
348944,18
353230,18
353237,18
372528,18
373392,18
385792,18
385807,18
385815,18
385834,18
400887,18
400888,18
400889,18
14214,19
134165,19
134269,19
134270,19
134614,19
135013,19
136991,19
136993,19
137308,19
137440,19
137538,19
137686,19
143759,19
143760,19
143763,19
144725,19
144726,19
152172,19
152173,19
152174,19
152177,19
152178,19
152180,19
170182,19
170185,19
170187,19
170189,19
222580,19
222582,19
222585,19
222587,19
222590,19
222591,19
250894,19
250917,19
250939,19
250941,19
399391,19
399392,19
399393,19
399402,19
399405,19
399407,19
399412,19
399413,19
399416,19
399418,19
399421,19
146826,20
146829,20
146832,20
146838,20
248887,20
248890,20
250280,20
250281,20
262732,20
264234,20
255375,21
343681,21
362122,21
362531,21
364363,21
364394,21
365427,21
368742,21
371927,21
380131,21
381390,21
381393,21
381483,21
381487,21
381488,21
381728,21
381729,21
383232,21
383235,21
383251,21
387164,21
400168,21
400170,21
400185,21
404728,21
404730,21
404731,21
404752,21
429682,21
42306,22
42307,22
42782,22
42785,22
42893,22
60009,22
60015,22
60016,22
60019,22
60020,22
60021,22
60024,22
70363,22
70369,22
70388,22
93162,22
104471,22
104490,22
104495,22
106656,22
114711,22
116727,22
120908,22
140445,22
140446,22
142920,22
147921,22
147929,22
147930,22
147931,22
147940,22
148023,22
157878,22
164815,22
166535,22
166538,22
166544,22
166545,22
166561,22
166563,22
166569,22
172383,22
172384,22
172386,22
172390,22
172415,22
172423,22
172427,22
178564,22
182925,22
182992,22
206565,22
206566,22
206573,22
214330,22
214767,22
226158,22
226161,22
226166,22
226167,22
230567,22
234061,22
234063,22
234064,22
234067,22
234074,22
234075,22
234077,22
234078,22
234081,22
234084,22
234089,22
234090,22
234092,22
234093,22
234099,22
234104,22
234107,22
234119,22
234120,22
234122,22
254196,22
256295,22
256296,22
256298,22
258844,22
258850,22
261659,22
266412,22
266417,22
266423,22
266428,22
266429,22
266432,22
266450,22
268598,22
268605,22
268862,22
269166,22
269169,22
269173,22
269188,22
269192,22
269202,22
269747,22
269748,22
270072,22
270956,22
273159,22
273163,22
273166,22
275323,22
275327,22
276208,22
276210,22
290569,22
295041,22
295437,22
295664,22
316128,22
318309,22
318313,22
318317,22
335959,22
335963,22
344087,22
344952,22
344953,22
344954,22
346233,22
346234,22
346237,22
378931,22
378932,22
378934,22
385597,22
385603,22
385612,22
385613,22
385618,22
385637,22
385638,22
385641,22
385642,22
385643,22
385645,22
385647,22
385650,22
385652,22
385656,22
385657,22
385658,22
385662,22
385665,22
385668,22
385674,22
385675,22
387853,22
389002,22
408046,22
408053,22
408055,22
408056,22
410124,22
410424,22
411008,22
411011,22
412701,22
412702,22
423095,22
423268,22
423998,22
424006,22
424007,22
424012,22
424018,22
424089,22
424101,22
424102,22
12825,23
29200,23
137516,23
138196,23
147302,23
147303,23
147309,23
147312,23
147313,23
147318,23
147319,23
147324,23
147327,23
147328,23
147335,23
147340,23
147341,23
147344,23
147346,23
147353,23
147355,23
147438,23
147466,23
147471,23
147499,23
147500,23
147501,23
149771,23
149772,23
149778,23
149783,23
149787,23
149790,23
158388,23
158389,23
158395,23
158396,23
158398,23
158399,23
158412,23
158413,23
158418,23
159567,23
169931,23
169932,23
172501,23
192196,23
192210,23
192313,23
192314,23
192317,23
192386,23
192395,23
202280,23
213550,23
213551,23
244774,23
247077,23
247080,23
247083,23
247084,23
247086,23
247095,23
247099,23
253401,23
253797,23
253800,23
260865,23
260866,23
260868,23
264782,23
264784,23
266191,23
266199,23
266207,23
268969,23
268976,23
268981,23
268984,23
268987,23
269103,23
269108,23
269112,23
281799,23
281802,23
281803,23
281804,23
281805,23
281808,23
281812,23
281817,23
281818,23
378411,23
378421,23
379044,23
387916,23
387918,23
427078,23
427083,23
427085,23
37501,24
37503,24
37505,24
37506,24
37509,24
37511,24
37516,24
37517,24
37522,24
37523,24
37525,24
37528,24
37531,24
37535,24
37538,24
37540,24
37541,24
37543,24
37544,24
37549,24
37550,24
37551,24
37556,24
37557,24
37564,24
37567,24
37572,24
37580,24
37585,24
37587,24
37595,24
37596,24
37598,24
37599,24
37605,24
37612,24
144916,24
144921,24
167043,24
169236,24
169243,24
169244,24
169247,24
169251,24
169256,24
169257,24
169264,24
169268,24
169272,24
169300,24
169307,24
169310,24
169311,24
169316,24
169321,24
169322,24
169323,24
169329,24
169331,24
169338,24
169348,24
169353,24
169358,24
169360,24
169362,24
169364,24
169372,24
169373,24
169376,24
169378,24
169515,24
169522,24
169525,24
169529,24
169534,24
169539,24
169547,24
169551,24
169552,24
169566,24
169569,24
169575,24
169578,24
169586,24
169589,24
169604,24
169608,24
212078,24
212083,24
212085,24
212093,24
212095,24
212103,24
212117,24
212128,24
212130,24
212138,24
212140,24
220770,24
220775,24
220776,24
220778,24
230086,24
230089,24
258394,24
258435,24
288428,24
288464,24
370409,24
370430,24
370433,24
370444,24
372116,24
421506,24
421521,24
421523,24
421524,24
421713,24
421717,24
421719,24
421721,24
421726,24
421733,24
421736,24
421738,24
421742,24
421748,24
421751,24
421753,24
421754,24
421755,24
143041,25
231762,25
231769,25
344549,25
34589,26
34591,26
34593,26
34594,26
136255,26
258462,26
258465,26
258471,26
258480,26
258481,26
258485,26
258487,26
258494,26
258497,26
258502,26
258508,26
258515,26
258521,26
258524,26
134671,27
136971,27
137103,27
137193,27
137714,27
149626,27
184623,27
184632,27
184714,27
184799,27
202655,27
205258,27
205268,27
205273,27
205277,27
205278,27
226028,27
243895,27
244760,27
244762,27
260929,27
265499,27
268640,27
268642,27
269491,27
270918,27
276510,27
299033,27
299034,27
299035,27
299036,27
299924,27
343306,27
343307,27
343308,27
343313,27
344262,27
344263,27
400439,27
413650,27
10766,28
10767,28
35363,28
35365,28
35370,28
36491,28
36492,28
36515,28
36518,28
36528,28
36529,28
36534,28
36541,28
134308,28
134441,28
136147,28
137944,28
138069,28
138074,28
154504,28
154505,28
154508,28
154511,28
154512,28
154517,28
154519,28
154871,28
154898,28
155011,28
155483,28
155485,28
155486,28
155495,28
155517,28
155520,28
155527,28
155530,28
155531,28
155535,28
155541,28
155549,28
155550,28
155552,28
155553,28
155560,28
155562,28
155565,28
155568,28
171483,28
171484,28
171495,28
182298,28
182300,28
182305,28
182309,28
182321,28
182323,28
182332,28
182333,28
182346,28
182354,28
182361,28
182371,28
182374,28
182375,28
182382,28
182383,28
182402,28
191088,28
214145,28
232339,28
236078,28
236080,28
236084,28
263248,28
263320,28
263322,28
265281,28
265290,28
266847,28
346684,28
346687,28
346688,28
347253,28
350136,28
355967,28
355971,28
355981,28
375547,28
375548,28
392005,28
404893,28
404915,28
404916,28
408669,28
408672,28
408676,28
408678,28
408681,28
408683,28
408685,28
427164,28
34993,29
35322,29
35323,29
154337,29
154885,29
154887,29
155026,29
155028,29
155031,29
155037,29
155048,29
155050,29
155051,29
155052,29
155055,29
155056,29
155465,29
155466,29
155467,29
155468,29
155477,29
182338,29
188795,29
214540,29
225204,29
254605,29
254607,29
263308,29
346289,29
347254,29
375522,29
375529,29
375530,29
375537,29
375677,29
375691,29
375698,29
375703,29
375711,29
396809,29
396817,29
404924,29
404928,29
404931,29
404935,29
404939,29
417909,29
417915,29
417917,29
417923,29
420607,29
420613,29
423271,29
156096,30
157896,30
159250,30
160491,30
160492,30
160504,30
160505,30
160513,30
160968,30
161006,30
161033,30
161114,30
161120,30
161131,30
161144,30
161154,30
161155,30
161164,30
161170,30
161175,30
161192,30
161217,30
161227,30
161254,30
161285,30
161289,30
161291,30
161299,30
161313,30
161387,30
161388,30
161395,30
161405,30
161433,30
161442,30
161451,30
161464,30
161466,30
161477,30
161509,30
161515,30
161523,30
161526,30
161548,30
161549,30
161580,30
161584,30
161598,30
161608,30
161627,30
161628,30
161634,30
161643,30
161644,30
161651,30
161652,30
161659,30
161660,30
161663,30
161673,30
161676,30
161678,30
161683,30
161685,30
161686,30
185900,30
186041,30
186457,30
187776,30
191286,30
191291,30
191305,30
191308,30
191332,30
191342,30
191344,30
191345,30
191347,30
191356,30
191357,30
191358,30
212955,30
213368,30
230134,30
230138,30
230140,30
230141,30
230142,30
230145,30
230148,30
230153,30
233028,30
233643,30
233644,30
233645,30
252923,30
252935,30
252939,30
252972,30
252988,30
252996,30
253003,30
253006,30
253806,30
253808,30
253813,30
253817,30
253845,30
273631,30
290211,30
290220,30
311344,30
311347,30
347400,30
347401,30
348722,30
348727,30
348731,30
348734,30
348746,30
348748,30
348978,30
348984,30
348986,30
348987,30
348996,30
348998,30
349005,30
349009,30
349011,30
349018,30
349027,30
349038,30
349043,30
349048,30
349059,30
349066,30
349079,30
349084,30
349087,30
349102,30
349122,30
349137,30
349149,30
349152,30
349153,30
349165,30
349166,30
349175,30
349183,30
349192,30
349218,30
349221,30
349223,30
349224,30
349228,30
349242,30
349260,30
349268,30
349272,30
349273,30
349300,30
349302,30
349311,30
349324,30
349332,30
349337,30
349338,30
349352,30
349354,30
349363,30
349371,30
349376,30
349380,30
349398,30
349408,30
349419,30
349423,30
349439,30
349445,30
349472,30
349479,30
349484,30
349488,30
349490,30
349509,30
349517,30
349538,30
349545,30
349548,30
349570,30
349573,30
349574,30
349583,30
349591,30
349592,30
349601,30
349624,30
349631,30
349634,30
349932,30
349935,30
351465,30
351481,30
351484,30
351485,30
351490,30
351493,30
351520,30
351521,30
351534,30
351543,30
351546,30
351567,30
351578,30
351590,30
351592,30
351593,30
351602,30
351604,30
351611,30
351613,30
351628,30
351642,30
351653,30
351668,30
351669,30
351676,30
351688,30
351691,30
351711,30
351714,30
351716,30
351723,30
352887,30
352907,30
352910,30
353269,30
353276,30
353288,30
353292,30
353296,30
353297,30
353299,30
353317,30
353339,30
353341,30
353343,30
353351,30
353359,30
353363,30
353391,30
353395,30
353401,30
353402,30
353409,30
353420,30
353445,30
353449,30
353460,30
353470,30
353484,30
353495,30
353505,30
353511,30
353519,30
353522,30
353524,30
353525,30
353532,30
353557,30
353564,30
353569,30
353574,30
353585,30
353603,30
353611,30
353617,30
353621,30
353623,30
353625,30
353631,30
353638,30
353641,30
353658,30
353661,30
353662,30
353663,30
353665,30
353680,30
353682,30
353685,30
353686,30
353689,30
353693,30
353702,30
353712,30
353721,30
353728,30
353729,30
353730,30
353731,30
353733,30
353735,30
353736,30
353738,30
353740,30
353741,30
353745,30
353747,30
353749,30
353751,30
353757,30
353763,30
353770,30
353779,30
353781,30
353784,30
353792,30
353796,30
353797,30
353799,30
353800,30
353803,30
353808,30
353810,30
353813,30
353821,30
353824,30
353827,30
353846,30
353853,30
353862,30
353865,30
353871,30
353877,30
353881,30
353884,30
353885,30
353887,30
353896,30
353900,30
353906,30
353915,30
353916,30
353921,30
353923,30
353924,30
353936,30
353937,30
353939,30
353955,30
353961,30
353968,30
353972,30
353975,30
353976,30
354003,30
354004,30
354012,30
354021,30
354026,30
354031,30
354035,30
354036,30
354037,30
354042,30
354045,30
354048,30
354053,30
354056,30
354058,30
354064,30
354076,30
354080,30
354081,30
354084,30
354090,30
354091,30
354092,30
354101,30
354102,30
354107,30
354110,30
354113,30
354114,30
354125,30
354128,30
354131,30
354135,30
354136,30
354143,30
354153,30
354154,30
354161,30
354162,30
354167,30
354172,30
354182,30
354185,30
354194,30
354195,30
354206,30
354207,30
354216,30
354218,30
354219,30
354227,30
354232,30
354239,30
354240,30
354242,30
354249,30
354258,30
354273,30
354276,30
354287,30
354295,30
354303,30
354306,30
354307,30
354311,30
354318,30
354327,30
354350,30
354359,30
354365,30
354371,30
354380,30
354383,30
354387,30
354389,30
354403,30
354404,30
354406,30
354407,30
354410,30
354418,30
354427,30
354440,30
354441,30
354442,30
354449,30
354458,30
354459,30
354461,30
354489,30
354490,30
354509,30
354510,30
354521,30
354524,30
354555,30
354560,30
354590,30
354591,30
354593,30
354597,30
354620,30
354623,30
354634,30
354645,30
354649,30
354651,30
354657,30
354659,30
354664,30
354665,30
354671,30
354684,30
354702,30
354704,30
354709,30
354712,30
354716,30
354717,30
354724,30
354725,30
354741,30
354747,30
354749,30
354750,30
354751,30
354756,30
354760,30
354762,30
354765,30
354776,30
354780,30
354783,30
354801,30
354807,30
354811,30
354818,30
354825,30
354838,30
354841,30
354852,30
354853,30
354856,30
354864,30
354869,30
354870,30
354871,30
354878,30
354881,30
354891,30
354897,30
354908,30
354917,30
354925,30
354926,30
354929,30
354938,30
354939,30
354945,30
354951,30
354952,30
354955,30
354958,30
354964,30
354970,30
354972,30
354973,30
354977,30
354978,30
354981,30
355000,30
355001,30
355003,30
355010,30
355015,30
355016,30
355017,30
355020,30
355023,30
355024,30
355027,30
355033,30
355035,30
355038,30
355040,30
355044,30
355050,30
355054,30
355056,30
355058,30
355062,30
355068,30
355072,30
355074,30
355077,30
355084,30
355085,30
355092,30
355097,30
355104,30
355111,30
355115,30
355118,30
355120,30
355122,30
355140,30
355145,30
355157,30
355167,30
355170,30
355185,30
355188,30
355191,30
355192,30
355207,30
355213,30
355219,30
355221,30
355226,30
355229,30
355241,30
355263,30
355273,30
355274,30
152576,31
152577,31
152578,31
152581,31
165640,31
165642,31
165645,31
165657,31
165668,31
165671,31
165679,31
165681,31
165686,31
165688,31
165689,31
165692,31
165694,31
165699,31
165705,31
165706,31
165709,31
213243,31
247621,31
247639,31
247641,31
247643,31
247656,31
247658,31
247663,31
247665,31
247676,31
247682,31
247686,31
247687,31
247692,31
247700,31
247703,31
247705,31
247713,31
247719,31
247726,31
247728,31
247733,31
247737,31
247743,31
247752,31
247754,31
247763,31
247784,31
247788,31
247799,31
247804,31
247807,31
247813,31
247819,31
247823,31
247824,31
247825,31
247827,31
247833,31
247834,31
247839,31
247842,31
247846,31
247848,31
247856,31
247857,31
247860,31
261855,31
138257,32
138333,32
138364,32
138537,32
138538,32
138558,32
138847,32
138965,32
151147,32
151151,32
191952,32
191953,32
191954,32
234955,32
234956,32
234964,32
234966,32
234972,32
234977,32
234998,32
235004,32
235054,32
235056,32
235067,32
235085,32
235105,32
235109,32
235111,32
235112,32
235117,32
255959,32
256085,32
257738,32
270120,32
270136,32
270158,32
270160,32
270167,32
270170,32
270233,32
270239,32
270248,32
288396,32
297684,32
297694,32
297699,32
297702,32
300001,32
300003,32
300021,32
309516,32
309536,32
309539,32
358611,32
358614,32
359061,32
395568,32
395569,32
395573,32
403715,32
405074,32
405078,32
421193,32
421194,32
421196,32
427723,32
154216,33
267698,33
315155,33
377318,33
377319,33
139847,34
139848,34
139849,34
220491,34
220534,34
18487,35
20278,35
20281,35
20282,35
20283,35
20290,35
20291,35
20293,35
32355,35
32356,35
35752,35
35754,35
35758,35
35759,35
35761,35
35763,35
35765,35
35769,35
35770,35
35772,35
35775,35
35776,35
35777,35
35779,35
35780,35
35784,35
36603,35
36619,35
36620,35
36638,35
36639,35
36697,35
36718,35
36723,35
36724,35
36726,35
36736,35
36751,35
36883,35
36891,35
36924,35
37018,35
37034,35
41543,35
42398,35
42609,35
42625,35
42629,35
42633,35
42636,35
42644,35
42834,35
42836,35
43065,35
43680,35
56522,35
56675,35
56678,35
56682,35
57951,35
57952,35
57953,35
58532,35
58534,35
58536,35
58787,35
58821,35
58862,35
59600,35
59602,35
59609,35
61229,35
61536,35
61537,35
61538,35
61540,35
61542,35
61553,35
61554,35
61555,35
70142,35
70151,35
89331,35
89332,35
89336,35
89337,35
91966,35
93008,35
93016,35
93088,35
93089,35
93967,35
93969,35
93973,35
94396,35
94412,35
95052,35
95053,35
95057,35
95512,35
95514,35
95515,35
95519,35
95522,35
95526,35
95528,35
95555,35
97319,35
97331,35
97332,35
97336,35
97357,35
97360,35
97361,35
97371,35
97381,35
97393,35
97394,35
97396,35
97397,35
97408,35
97409,35
97410,35
97412,35
99323,35
99547,35
100091,35
100134,35
100395,35
100404,35
101210,35
102606,35
104340,35
104395,35
104414,35
104417,35
104418,35
104424,35
104708,35
104725,35
104726,35
104727,35
104734,35
106149,35
106153,35
106158,35
106397,35
106591,35
106866,35
106867,35
106868,35
106873,35
107985,35
107995,35
111804,35
114702,35
116755,35
116757,35
117244,35
117252,35
117254,35
117700,35
117701,35
117702,35
119114,35
120846,35
120847,35
120875,35
121297,35
121802,35
121817,35
122854,35
127755,35
127766,35
129031,35
129034,35
129379,35
129803,35
129865,35
130452,35
131113,35
131117,35
131168,35
131223,35
131324,35
131839,35
131842,35
131843,35
131844,35
131848,35
137457,35
137458,35
140148,35
140439,35
141040,35
141046,35
141050,35
141228,35
141229,35
141355,35
151236,35
162037,35
162684,35
162727,35
162728,35
162731,35
162877,35
162897,35
162899,35
163047,35
163925,35
164797,35
164888,35
164998,35
164999,35
173490,35
174057,35
174094,35
174382,35
183535,35
183551,35
183602,35
191673,35
191675,35
191679,35
191689,35
191700,35
191703,35
191704,35
191707,35
191714,35
191716,35
191717,35
191724,35
191733,35
191738,35
191748,35
191751,35
191752,35
191755,35
191776,35
191778,35
191787,35
191790,35
191798,35
191799,35
191822,35
191823,35
195557,35
195809,35
195810,35
215718,35
215723,35
215725,35
215727,35
215732,35
215744,35
215745,35
215746,35
215747,35
215754,35
215755,35
215757,35
215760,35
215766,35
215767,35
215768,35
215769,35
215772,35
215775,35
215777,35
215784,35
215791,35
215795,35
215797,35
215812,35
215819,35
215820,35
215827,35
215841,35
215842,35
215843,35
215847,35
215892,35
215893,35
216232,35
216317,35
216320,35
216321,35
216323,35
216359,35
225185,35
225415,35
225435,35
226768,35
226769,35
226771,35
226773,35
226774,35
226780,35
226782,35
226784,35
226785,35
226795,35
226798,35
226801,35
226804,35
226805,35
226807,35
226809,35
226812,35
226814,35
226823,35
226826,35
226831,35
226835,35
226837,35
226839,35
227634,35
248852,35
248943,35
254711,35
254718,35
254723,35
254728,35
254729,35
254730,35
254732,35
254743,35
254748,35
254755,35
254756,35
254768,35
260838,35
261036,35
261038,35
261046,35
264134,35
264648,35
272135,35
272140,35
272142,35
272146,35
276185,35
276216,35
276223,35
291127,35
291128,35
291351,35
292221,35
292260,35
293952,35
293954,35
295239,35
295600,35
295601,35
295604,35
295715,35
312945,35
314079,35
314082,35
315900,35
316093,35
318264,35
318289,35
